complaint_text,category,urgency,duration,affected_count,source
"Attendance policy is draconian. Even if you're sick, you lose marks. College should understand students are human beings, not machines.",Academics,Medium,More than a month,2 to 5,synthetic
water ka taste acha nahi hai,Other,Medium,More than a month,20+,synthetic
"The condition of girls' washrooms across all blocks is extremely poor. Door locks are broken in most stalls. We either have to wait for the one working stall or ask someone to hold the door from outside  which is embarrassing and time-consuming. During break time, there's a huge queue for just one functional washroom. Additionally, there's no proper liquid soap dispenser  just a random sprite bottle with a hole. This is a basic hygiene necessity. Please get the locks repaired and install proper dispensers urgently.",Infrastructure,Medium,More than a month,20+,synthetic
Many system is not working in Lab M312,Technical Issues,High,From last week,2 to 5,real
Internet connection in D block labs is non-existent. We have to use our own mobile data for practicals. College should provide proper connectivity.,Technical Issues,Low,More than a month,Only me,synthetic
"5 din college aao, monday test do, assignments karo, practicals karo. Kab skills develop karein hum? Clg sirf marks ke peeche hai.",Academics,High,More than a month,20+,synthetic
"Yaar campus ki cleanliness ki situation kya bata bhai. Canteen ke bahar ka area garbage dump ban gaya hai. Stairs ke corners pe kachra, dustbins overflow ho rahe hai, aur bahar ka road bhi littered hai. Students bhi zimmedaar hai for sure  but cleaning staff bhi visible nahi hai campus pe during the day. Koi ek person responsible hona chahiye jo ensure kare ki campus clean hai throughout the day. Ek Sunday campus cleanliness drive organize karo  involve students bhi. Something needs to be done.",Cleanliness,High,From last week,20+,synthetic
No bicycle parking area in college. Students who cycle to college have to leave them anywhere. Proper cycle stand should be provided.,Other,Low,More than a month,5 to 20,synthetic
Sir gives extra marks to students who are on his good side regardless of answer quality. This partiality demotivates genuinely hardworking students.,Ragging,Medium,From Last Month,5 to 20,synthetic
"College canteen menu has no options for students with dietary restrictions  no gluten-free, no jain food options mentioned anywhere.",Other,Medium,From Last Month,Only me,synthetic
The ISA marks are directly affecting our SGPA. Ek test mein kuch galat hua toh poora semester kharab. This system needs to change.,Academics,High,More than a month,20+,synthetic
"Library mein AC nahi hai since months. Garmi mein padhai karna impossible ho gaya hai. Books hai, seats hai, but AC nahi  kya fayda?",Technical Issues,High,More than a month,2 to 5,synthetic
paneer watery hai,Mess/Food,Medium,From last week,20+,synthetic
net bahut slow hai,Technical Issues,Medium,More than a month,5 to 20,synthetic
faraway students ke liye koi support nahi,Other,Medium,From Last Month,2 to 5,synthetic
Lab M312 mein half the computers kaam nahi karte. Either they don't boot or the login fails. How are we supposed to complete practicals?,Technical Issues,High,From last week,Only me,synthetic
"Professors woh hai jo sirf class mein aate hai aur ek cheez bata ke chale jate hai. Check karo ki students ne samjha ki nahi? Nahi. Assignment diya, checked kiya? Nahi. Phir exam mein result kharab aaya toh students ki galti. Teachers ka koi accountability nahi hai is college mein. Aur attendance? Unki toh zero accountability hai but hamari 75% maangi jaati hai. This is completely unfair.",Academics,Medium,More than a month,5 to 20,synthetic
"College WhatsApp groups are full of spam  promotional messages, surveys, irrelevant forwards. It's so hard to find important messages in all this noise.",Other,Medium,More than a month,2 to 5,synthetic
Not having good placements or opportunities ,Academics,High,More than a month,20+,real
iMac lab locked rehta hai students ke liye,Technical Issues,High,From Last Month,5 to 20,synthetic
"TONS OF ASSIGNMENTS AND UNNCESSARY STUFF IN SYLLABUS, no access in the iMac lab so what's the point of those pricey hardware which goes unused, and we can't use the labs on our off-lab time/spare time to do and work on something, bad wifi which just gives up sometimes, it mainly has issues with the login thingy, and no AC in the reading room is a big pain, the mens bathroom toilet gets clogged in D block mainly",Academics,High,More than a month,20+,real
The prices are very odd and might be too high for students the canteen doesn't have enough place to sit and eat,Mess/Food,High,More than a month,20+,real
verbal abuse by faculty,Ragging,High,From last week,Only me,synthetic
Water leakage in A block classrooms has been an issue since monsoon. Nothing has been repaired. The seepage is causing wall damage now too.,Infrastructure,High,More than a month,20+,synthetic
100 percent attendance ,Academics,High,More than a month,20+,real
Language problem serious hai clg mein. Maharashtra ke bahar ke students ke liye Marathi medium faculty ek big barrier hai. Kuch professors poori class Marathi mein lete hai aur sirf end mein ek line English mein bolta hai. Non-Marathi students completely lost rehte hai throughout the lecture. Teaching medium English ya Hindi hona chahiye as per university guidelines. Please enforce this properly.,Other,High,More than a month,5 to 20,synthetic
"Professors woh hai jo sirf class mein aate hai aur ek cheez bata ke chale jate hai. Check karo ki students ne samjha ki nahi? Nahi. Assignment diya, checked kiya? Nahi. Phir exam mein result kharab aaya toh students ki galti. Teachers ka koi accountability nahi hai is college mein. Aur attendance? Unki toh zero accountability hai but hamari 75% maangi jaati hai. This is completely unfair.",Academics,Medium,More than a month,20+,synthetic
sir ne gaali di class mein,Ragging,Medium,More than a month,2 to 5,synthetic
"Alumni network is completely inactive. No mentorship program, no networking events, no job referral system through alumni.",Other,Low,More than a month,5 to 20,synthetic
"Network speed during peak hours (10am-12pm) drops to almost nothing. Too many users, not enough bandwidth. Upgrade the network capacity.",Technical Issues,Medium,More than a month,5 to 20,synthetic
canteen bahut expensive hai,Mess/Food,High,More than a month,Only me,synthetic
food quality very poor,Mess/Food,High,More than a month,2 to 5,synthetic
outside college area littered,Cleanliness,High,More than a month,2 to 5,synthetic
canteen UPI accept nahi karta,Mess/Food,High,More than a month,20+,synthetic
There is no formal grievance cell that students can approach with issues. No transparency about what happens to complaints once raised.,Other,Medium,More than a month,2 to 5,synthetic
washroom lock toot gaya hai,Infrastructure,High,More than a month,20+,synthetic
There is no ac in vit library due to which it feels irritated while studying ,Technical Issues,High,More than a month,20+,real
Outside the college campus the road is very uneven and not safe. Students walking from the gate to bus stop are at risk especially after dark.,Infrastructure,Low,From Last Month,5 to 20,synthetic
Lectures and practicals are ineffective ,Academics,High,More than a month,20+,real
"The robotics minor course is a complete joke. They said we'll learn robotics but we haven't touched a single hardware component. Just MATLAB on a laptop. No Arduino, no sensors, no robots. Meanwhile they still want 75% attendance. Why should I attend classes that teach me nothing practical? IIT students do actual robotics. Here we are just watching videos and submitting reports. If you can't provide proper resources, don't offer the course. It's misleading.",Academics,High,More than a month,20+,synthetic
Food mein milawat ka doubt hota hai sometimes. Quality itni poor hai ki taste genuinely suspicious lagta hai. Health check-ups karo mess ke food ka.,Mess/Food,Medium,More than a month,5 to 20,synthetic
Poor food quality resulting to frequent stomach related health concerns,Mess/Food,High,More than a month,2 to 5,real
lab PC login nahi ho raha,Technical Issues,Medium,More than a month,2 to 5,synthetic
outside college area littered,Cleanliness,Medium,More than a month,5 to 20,synthetic
"The Food In Mess Is Blunt, Tasteless 
It Can Definitely be Improved Also Sitting Capacity Really Needs To Be Increased As Students Needs To Wait So Long That Eventually The Appear Late In There Lectures Which Are After The Lunch. Also Waiting Causes So Much Inconvenience To The students ",Mess/Food,High,More than a month,20+,real
SGPA mein ISA ka weightage itna zyada hai ki ek bemar student ka poora semester kharab ho jata hai. No flexibility for genuine cases.,Academics,High,More than a month,20+,synthetic
professor threatens attendance kaatne ki,Ragging,High,From Last Month,2 to 5,synthetic
"The WiFi situation in this college is honestly embarrassing. It barely works inside the building, and when it does, the speed is so slow that a simple Google search takes forever. The login system is a nightmare  half the time the login page doesn't even load, and when it does, you get disconnected every few minutes. How are students supposed to do research, complete online assignments, or access learning resources? In 2026, a college that can't provide decent internet is a serious problem. Please invest in proper networking infrastructure.",Technical Issues,High,More than a month,20+,synthetic
"The building infrastructure of this college is quite poor for the fees we pay. Broken benches, non-functional lights in corridors, leaking roofs during rain, broken washroom doors  these are basic things that should be maintained regularly. In one of our classrooms, two of the three ceiling fans don't work. In Mumbai heat, sitting in a hot classroom with one fan for 60 students is unbearable. Please allocate budget for proper maintenance. Students deserve a functional learning environment.",Infrastructure,High,More than a month,20+,synthetic
professor ne class mein humiliate kiya,Ragging,High,More than a month,Only me,synthetic
The college notice boards are broken and papers fall off constantly. Small thing but makes the whole environment look neglected.,Infrastructure,High,More than a month,20+,synthetic
Canteen ki seating capacity MUST be increased. 200+ students aate hai ek saath lunch pe aur baith ne ki jagah 50 logon ke liye hai. Simple math problem.,Mess/Food,High,More than a month,20+,synthetic
Dustbins on campus are overflowing since morning. No one empties them. By afternoon the garbage is spilling onto the floor. Please increase cleaning frequency.,Cleanliness,Medium,More than a month,20+,synthetic
The college notice boards are broken and papers fall off constantly. Small thing but makes the whole environment look neglected.,Infrastructure,High,More than a month,20+,synthetic
paneer watery hai,Mess/Food,Medium,More than a month,5 to 20,synthetic
college mein transport nahi hai,Other,Low,More than a month,Only me,synthetic
parking nahi hai proper,Infrastructure,High,More than a month,5 to 20,synthetic
"ISA marks affect karte hai SGPA ko, this is unfair",Academics,Low,More than a month,20+,synthetic
language barrier hai lectures mein,Other,Medium,More than a month,20+,synthetic
Corridor near the labs smells musty  probably from water leakage and no ventilation. Proper exhaust fans or cleaning needed.,Cleanliness,Medium,More than a month,20+,synthetic
"I've been drinking from the water dispenser in A block for months and recently realized the taste has been off for a while  slightly metallic and stale. I think the dispenser hasn't been cleaned or serviced in a long time. We don't have any other water source during college hours. If the water quality is bad, students could get sick. Please get the water tested from a lab and service all dispensers on campus at least once a month. This is a basic health necessity.",Other,Medium,More than a month,Only me,synthetic
"Rugved Deolekar Sir unnecessarily bullying on a nominal issue of Id card . Its ok u are advising us to wear ids but instead of advising he bullies students talking disrespectfully to students and specially girls . This can lead to further disturbance and verbal argument outside the college also, if he maintains  his rude tone and bullying. ",Ragging,High,From Last Month,2 to 5,real
The pressure of maintaining 75% attendance while also doing internships and projects is impossible to balance. College needs to modernize its policies.,Academics,High,More than a month,20+,synthetic
College events are held on weekdays during college hours  this disturbs regular lectures and students suffer. Schedule events on weekends or free periods.,Other,Low,More than a month,2 to 5,synthetic
Not focusing on students improvement but torturing students for attendance ,Academics,High,More than a month,5 to 20,real
lab bench dirty rehte hai,Cleanliness,Medium,More than a month,5 to 20,synthetic
professor ne class mein humiliate kiya,Ragging,High,From Last Month,20+,synthetic
"MONDAY TESTS HINDER OUR SELF STUDY, THUS WE DON'T HAVE REAL WORLD SKILLS, THAT'S WHY YOUR PLACEMENT RECORD SUCKS!! THIS ISN'T SCHOOL. 

Also, which engineering college aks students to come for the last few semesters? It's like you are doing everything so the students don't get placed. Shame on you. ",Academics,High,More than a month,5 to 20,real
queue bahut lamba hai,Mess/Food,High,More than a month,20+,synthetic
"After rains, puddles form in campus walkways and become breeding grounds for mosquitoes. Proper drainage maintenance is needed.",Cleanliness,High,From last week,20+,synthetic
College WiFi ka login system is very buggy. Aadhe time login page hi nahi aata. Aur agar aa gaya toh disconnect ho jata hai 5 minutes mein.,Technical Issues,High,From Last Month,5 to 20,synthetic
"Monday test ki wajah se sunday ko koi plan nahi bana sakte. Family time, rest, self-study  sab suffer karta hai. Yeh weekly test culture band honi chahiye.",Academics,Medium,More than a month,20+,synthetic
Monday tests again  ,Academics,Low,More than a month,20+,synthetic
Area is not safe or clean outside ,Infrastructure,High,More than a month,5 to 20,real
"Yaar canteen ki situation bohot buri hai. Lunch time pe aisa lag ta hai jaise train station hai  itni bheed. Queue mein 20-25 minute khade raho, phir food milta hai toh seating nahi milti. End mein standing hokar khao aur next lecture ke liye bhaago. Aur M-block canteen mein UPI nahi chalta so we have to carry cash. Who carries cash in 2026? Please fix both problems  seating and payment system.",Mess/Food,Medium,More than a month,20+,synthetic
"College events run way over time without warning. If event says 6pm end, it runs till 9pm. Students miss buses and trains because of this.",Other,Medium,From last week,2 to 5,synthetic
"Our professor doesn't allow students to leave class even during emergencies. When a student requested washroom break urgently, he refused. This is inhumane.",Ragging,High,From last week,Only me,synthetic
The projector in our classroom has been broken for 2 weeks. Professor is teaching on whiteboard only which is very difficult to see from back benches.,Technical Issues,High,From Last Month,Only me,synthetic
faculty ne publicly insult kiya,Ragging,High,More than a month,2 to 5,synthetic
paneer watery hai,Mess/Food,High,More than a month,20+,synthetic
Lab M312 mein half the computers kaam nahi karte. Either they don't boot or the login fails. How are we supposed to complete practicals?,Technical Issues,High,From Last Month,Only me,synthetic
"I am currently in 3rd year doing computer engineering, Despite being top performers in academics I am failing to get an internship. What I felt there is a gap in what we study in clg and what industries requires. I feel clg should teach or make us skill perfect to any one domain or give the roadmap with constant mentoring. I feel this will help us to get the industrial knowledge",Academics,High,More than a month,5 to 20,real
Computer lab booking system is manual  we have to physically go and check availability. An online booking system would save so much time.,Technical Issues,Medium,Today,20+,synthetic
software license expired hai,Technical Issues,Medium,From Last Month,2 to 5,synthetic
toilet flush kaam nahi karta,Cleanliness,High,From Last Month,5 to 20,synthetic
iMac lab mein students ko access nahi diya jaata. Itna expensive hardware has dust on it. What's the point of buying it if students can't use it?,Technical Issues,High,More than a month,5 to 20,synthetic
Does not train students for internships or placements ,Academics,High,More than a month,20+,real
During peak hours the canteen staff rushes through serving food. Half the time portion is less than usual. Consistency chahiye.,Mess/Food,Medium,More than a month,5 to 20,synthetic
dustbin nahi hai labs mein,Infrastructure,High,More than a month,20+,synthetic
"niggas need to flush the toilet, taking big load of shit and just left like that , hell naww this nigggas be shitting multiple colours thats disgusting dawg , my niggas this college mannnn and it needs to clean 🪥🫧, i am telling when i see this whoever bitches shit like that , i ain't gonna lie but reminds me of '50 shades of grey ' but its the fucking 50 shades of shit ",Cleanliness,High,From Last Month,20+,real
OHU students ke liye mess ka khana affordable hona chahiye. 60-70 rupaye per meal is too much for what they serve. Quality and price dono match nahi karte.,Mess/Food,Medium,More than a month,5 to 20,synthetic
"Library mein AC nahi hai since months. Garmi mein padhai karna impossible ho gaya hai. Books hai, seats hai, but AC nahi  kya fayda?",Technical Issues,High,From Last Month,20+,synthetic
"The parking area is completely unorganized. No designated spots, vehicles parked randomly  it creates traffic jams every morning and evening.",Infrastructure,Medium,More than a month,5 to 20,synthetic
Lights in the corridor of C block are not working since last month. Evenings mein corridor dark ho jata hai  safety concern hai.,Infrastructure,Medium,From Last Month,20+,synthetic
The smell from the washroom near the stationery area is coming into the corridor. It's very unpleasant and students avoid that area. Deep cleaning is needed.,Cleanliness,Low,More than a month,20+,synthetic
wifi nahi chal raha,Technical Issues,Low,More than a month,5 to 20,synthetic
Sir gives extra marks to students who are on his good side regardless of answer quality. This partiality demotivates genuinely hardworking students.,Ragging,High,More than a month,Only me,synthetic
Broken benches and chairs in classroom 304. Some students have to sit on half-broken chairs for 6 hours. Basic comfort should be provided.,Infrastructure,High,From last week,20+,synthetic
dustbin full ho gaye hai,Cleanliness,Low,Today,5 to 20,synthetic
seniors scare first year students,Ragging,High,From Last Month,Only me,synthetic
"The condition of girls' washrooms across all blocks is extremely poor. Door locks are broken in most stalls. We either have to wait for the one working stall or ask someone to hold the door from outside  which is embarrassing and time-consuming. During break time, there's a huge queue for just one functional washroom. Additionally, there's no proper liquid soap dispenser  just a random sprite bottle with a hole. This is a basic hygiene necessity. Please get the locks repaired and install proper dispensers urgently.",Infrastructure,Medium,From Last Month,Only me,synthetic
Girls common room mein AC nahi hai. Boys ke liye facilities hai but girls ke liye basic comfort nahi. Unfair treatment.,Infrastructure,Low,More than a month,20+,synthetic
no mental health support in college,Other,Low,More than a month,5 to 20,synthetic
"Ek faculty member ka behavior students ke saath bahut hi bura hai. Woh class mein questions puchte hai aur agar galat jawab aaya toh loudly mock karte hai  poori class ke saamne. Ek baar ek student ne ek concept pe doubt pucha toh unhone kaha 'itna bhi nahi pata, kya kar rahe ho yahan?' This is deeply demoralizing. Students ki confidence totally shatter ho gayi hai. Aise professor ke saath class attend karna mental torture hai. Please talk to this faculty member and make them understand professional conduct.",Ragging,High,More than a month,Only me,synthetic
The projector in our classroom has been broken for 2 weeks. Professor is teaching on whiteboard only which is very difficult to see from back benches.,Technical Issues,High,Today,5 to 20,synthetic
Light bulbs in some classrooms are of very low wattage  it's dim and strains the eyes during reading. Upgrade to proper bright lighting.,Infrastructure,Low,From last week,5 to 20,synthetic
College notices are never communicated properly. Important deadlines come and go without most students knowing. Use email or a proper notice board system.,Other,High,From last week,5 to 20,synthetic
The mess doesn't cater well to students with dietary restrictions. No proper vegetarian options beyond the standard menu. Some variety please.,Mess/Food,High,More than a month,5 to 20,synthetic
lab mein computers freeze ho rahe hai,Technical Issues,High,More than a month,20+,synthetic
faraway students ke liye koi support nahi,Other,High,More than a month,2 to 5,synthetic
senior ne intimidate kiya,Ragging,High,From last week,20+,synthetic
"After college events, the venue is never cleaned properly. Next day students find leftover food, plastic, and mess everywhere.",Cleanliness,High,From Last Month,5 to 20,synthetic
printer out of order hai,Technical Issues,Low,More than a month,5 to 20,synthetic
"During rains, water leaks into D block library area. Books and bags get wet. The building maintenance is clearly not done properly.",Infrastructure,High,More than a month,2 to 5,synthetic
The ISA marks are directly affecting our SGPA. Ek test mein kuch galat hua toh poora semester kharab. This system needs to change.,Academics,High,More than a month,20+,synthetic
prof nahi aata phir bhi attendance chahiye,Academics,High,From last week,20+,synthetic
"College WhatsApp groups are full of spam  promotional messages, surveys, irrelevant forwards. It's so hard to find important messages in all this noise.",Other,Low,More than a month,2 to 5,synthetic
Sir gives extra marks to students who are on his good side regardless of answer quality. This partiality demotivates genuinely hardworking students.,Ragging,High,From last week,2 to 5,synthetic
"Classroom floors are swept but not mopped. Sticky floors, stains, and marks everywhere. Proper floor cleaning with disinfectant is required.",Cleanliness,High,More than a month,20+,synthetic
"Yaar monday ko test hota hai toh sunday ko self study nahi ho pata. Ek din bhi rest nahi milta. Please isko band karo, students ko breathe karne do.",Academics,High,More than a month,20+,synthetic
Mess food,Mess/Food,High,More than a month,20+,real
Monday test,Academics,Medium,From Last Month,5 to 20,synthetic
"Sir ne attendance ke naam pe bohot threatening language use ki. Said he'll fail us if we don't comply. This is mental harassment, not discipline.",Ragging,High,More than a month,Only me,synthetic
